year,avg_temp
1750,5.14
1751,4.68
1752,-0.29
1753,4.14
1754,4.15
1755,4.05
1756,4.47
1757,4.75
1758,2.66
1759,4.08
1760,2.79
1761,4.55
1762,4.22
1763,3.35
1764,4.55
1765,4.22
1766,4.75
1767,3.99
1768,3.35
1769,4.03
1770,4.15
1771,3.25
1772,3.77
1773,5.33
1774,4.01
1775,5.71
1776,4.68
1777,3.96
1778,4.23
1779,5.62
1780,3.85
1781,4.38
1782,3.29
1783,4.43
1784,3.29
1785,2.77
1786,3.14
1787,4.31
1788,3.32
1789,4.84
1790,4.23
1791,5.24
1792,4.18
1793,4.76
1794,5.70
1795,3.74
1796,4.70
1797,5.69
1798,5.15
1799,3.24
1800,3.73
1801,4.61
1802,4.07
1803,3.26
1804,3.77
1805,3.40
1806,3.97
1807,3.86
1808,3.54
1809,2.24
1810,2.55
1811,4.19
1812,2.64
1813,4.15
1814,2.98
1815,3.84
1816,3.51
1817,3.75
1818,4.62
1819,4.41
1820,3.52
1821,4.21
1822,6.07
1823,4.27
1824,4.87
1825,4.54
1826,5.98
1827,4.65
1828,3.39
1829,2.07
1830,3.73
1831,3.95
1832,4.23
1833,4.46
1834,4.37
1835,3.68
1836,3.88
1837,3.86
1838,2.49
1839,3.46
1840,2.83
1841,4.32
1842,4.48
1843,4.56
1844,2.52
1845,3.23
1846,4.43
1847,4.16
1848,4.34
1849,3.30
1850,3.57
1851,4.48
1852,3.29
1853,4.25
1854,4.62
1855,3.27
1856,2.36
1857,4.38
1858,5.04
1859,5.25
1860,3.78
1861,4.04
1862,1.96
1863,5.75
1864,3.51
1865,3.47
1866,4.22
1867,1.72
1868,4.35
1869,4.75
1870,3.38
1871,2.32
1872,5.38
1873,4.77
1874,4.70
1875,2.14
1876,3.05
1877,3.20
1878,5.08
1879,3.86
1880,3.87
1881,2.71
1882,5.21
1883,4.41
1884,4.20
1885,4.10
1886,4.42
1887,4.78
1888,2.19
1889,4.27
1890,5.12
1891,4.46
1892,2.99
1893,2.47
1894,5.20
1895,3.83
1896,4.91
1897,4.77
1898,4.62
1899,3.42
1900,3.49
1901,4.70
1902,2.25
1903,5.29
1904,3.53
1905,4.63
1906,5.22
1907,3.30
1908,3.96
1909,4.02
1910,5.59
1911,4.65
1912,3.85
1913,5.15
1914,5.27
1915,2.33
1916,4.19
1917,3.51
1918,4.34
1919,3.69
1920,5.67
1921,4.61
1922,3.69
1923,3.58
1924,4.75
1925,5.04
1926,3.60
1927,4.08
1928,4.17
1929,3.92
1930,5.84
1931,3.66
1932,5.27
1933,4.14
1934,6.51
1935,5.08
1936,5.65
1937,5.66
1938,6.45
1939,5.11
1940,3.04
1941,1.96
1942,2.40
1943,5.95
1944,5.36
1945,4.27
1946,4.56
1947,3.86
1948,5.27
1949,6.22
1950,4.80
1951,4.65
1952,3.95
1953,5.38
1954,4.73
1955,3.54
1956,2.97
1957,5.03
1958,3.53
1959,5.49
1960,4.40
1961,6.12
1962,4.10
1963,3.95
1964,4.67
1965,4.05
1966,3.28
1967,4.86
1968,3.97
1969,3.43
1970,3.91
1971,4.62
1972,5.55
1973,4.93
1974,6.03
1975,6.38
1976,3.28
1977,4.08
1978,3.18
1979,4.27
1980,4.09
1981,4.50
1982,4.88
1983,5.47
1984,5.33
1985,2.81
1986,4.25
1987,2.58
1988,5.22
1989,6.67
1990,6.07
1991,5.62
1992,5.80
1993,4.74
1994,4.66
1995,5.63
1996,4.20
1997,5.36
1998,4.71
1999,5.70
2000,6.57
2001,5.35
2002,5.54
2003,5.02
2004,5.40
2005,5.80
2006,5.91
2007,6.23
2008,6.77
2009,5.49
2010,4.36
2011,6.38
2012,5.12
2013,6.17
